file,total_ui_elements,text_elements,icon_image_elements,clickable_elements,unlabeled_elements,clickable_unlabeled,max_tree_depth,root_direct_children
24597.json,43,41,0,39,37,35,3,1
13230.json,16,7,3,10,10,6,3,5
45616.json,38,30,0,6,4,2,3,34
41734.json,43,13,17,13,32,13,4,17
38995.json,12,10,2,6,3,1,2,11
2828.json,10,7,0,0,2,0,3,1
23435.json,8,2,2,0,3,0,2,7
21468.json,1,0,0,0,1,0,1,0
64406.json,21,10,7,7,13,7,3,3
14128.json,14,6,0,0,8,0,4,1
13881.json,27,11,7,8,18,8,4,7
22373.json,2,0,0,1,2,1,2,1
38376.json,16,9,4,6,12,6,3,9
40185.json,59,14,31,25,48,24,3,13
9978.json,32,14,4,5,18,4,4,1
13441.json,4,2,0,1,2,0,2,3
35887.json,27,8,8,8,26,8,4,1
64084.json,2,0,0,1,2,1,2,1
38622.json,14,9,1,6,6,2,3,10
67797.json,15,1,11,1,14,1,3,1
46008.json,10,6,4,4,4,1,2,9
10842.json,23,6,2,15,9,5,3,4
30816.json,12,1,8,3,11,2,3,7
64488.json,42,21,9,15,28,15,4,11
54013.json,12,5,0,0,7,0,4,1
45968.json,3,0,0,1,3,1,3,1
30286.json,18,11,4,0,7,0,3,3
37951.json,10,6,0,0,4,0,3,3
53493.json,25,11,7,9,14,6,3,11
2340.json,25,16,1,3,11,3,3,7
22232.json,23,15,4,6,9,3,4,14
5908.json,2,0,0,1,2,1,2,1
22741.json,9,7,1,4,4,2,2,8
56419.json,2,0,0,1,2,1,2,1
54457.json,12,9,0,1,3,0,4,1
44246.json,57,28,16,7,33,5,4,20
15659.json,12,10,0,0,2,0,3,1
69160.json,13,11,3,2,4,2,2,12
26323.json,8,2,3,5,7,4,3,3
58907.json,26,9,5,1,17,1,4,3
20368.json,23,8,17,6,17,6,5,2
47855.json,17,6,5,4,12,4,4,4
56739.json,15,8,5,4,9,2,3,6
35047.json,31,19,0,1,12,1,3,11
19050.json,20,11,11,7,13,4,3,1
15997.json,15,12,0,11,3,0,4,1
39574.json,9,6,2,4,5,2,3,6
47397.json,27,11,15,3,16,1,2,26
20513.json,11,5,2,3,6,1,4,4
40200.json,37,12,11,3,25,3,4,4
23258.json,19,9,5,3,10,2,3,4
5911.json,16,6,5,11,13,8,4,8
4598.json,5,0,2,1,4,0,3,1
68386.json,37,11,15,16,28,16,3,14
57146.json,7,5,1,4,2,0,2,6
31218.json,14,6,6,1,8,1,3,11
57821.json,9,3,3,2,6,1,3,2
55955.json,34,17,13,12,17,7,4,5
37219.json,14,9,3,8,6,2,3,10
44539.json,9,7,1,4,5,3,2,8
19294.json,20,7,4,5,15,4,5,1
32421.json,24,8,3,12,7,6,3,15
41724.json,18,2,11,3,16,2,3,13
31340.json,18,10,3,5,11,3,4,5
69499.json,31,14,14,13,18,4,2,30
59023.json,26,14,10,15,19,9,4,4
44909.json,68,28,21,13,44,13,3,21
38522.json,15,13,8,10,10,8,2,14
51823.json,40,10,14,6,30,5,4,12
17334.json,53,26,21,15,32,12,4,50
39716.json,24,18,4,12,10,6,3,20
14173.json,46,19,14,23,30,19,3,20
50664.json,10,3,3,5,9,5,3,8
6175.json,26,7,17,2,19,2,3,22
4464.json,19,18,10,15,13,12,2,18
18617.json,28,10,7,8,19,8,3,13
37407.json,8,2,5,0,6,0,2,7
50572.json,9,6,2,2,3,1,2,8
37606.json,27,2,0,1,11,1,3,11
919.json,73,34,16,28,44,17,4,12
6104.json,49,22,12,14,28,14,4,14
6908.json,17,4,2,9,8,3,3,15
28736.json,41,9,24,25,34,22,4,18
44289.json,13,6,4,2,8,1,4,6
28290.json,14,10,11,11,14,11,3,12
41945.json,7,5,1,1,2,0,2,6
44026.json,16,11,5,6,7,1,3,14
65219.json,29,13,6,1,16,1,4,8
61541.json,20,1,16,4,20,4,4,17
56781.json,84,16,20,34,54,25,4,34
3846.json,17,4,2,8,5,0,3,14
2813.json,3,1,1,2,3,2,2,2
8472.json,19,7,6,6,13,6,4,12
21988.json,12,2,2,6,12,6,4,3
16167.json,17,11,1,2,5,0,3,6
24346.json,10,5,1,6,6,2,4,7
29965.json,15,6,5,1,9,1,4,2
30855.json,18,13,1,11,11,8,3,8
64434.json,12,5,3,4,9,4,4,6
18275.json,29,19,5,6,12,3,4,16
